laus_code,state_fips_code,county_fips_code,county_state,year,labor_force,employed,unemployed,unemployment_rate
CN0100100000000,1,1,"Autauga , AL",2006,"24,398","23,585",813,3.3
CN0100300000000,1,3,"Baldwin , AL",2006,"79,711","77,147","2,564",3.2
CN0100500000000,1,5,"Barbour , AL",2006,"10,705","10,096",609,5.7
CN0100700000000,1,7,"Bibb , AL",2006,"8,850","8,477",373,4.2
CN0100900000000,1,9,"Blount , AL",2006,"26,770","25,902",868,3.2
CN0101100000000,1,11,"Bullock , AL",2006,"3,702","3,372",330,8.9
CN0101300000000,1,13,"Butler , AL",2006,"9,238","8,709",529,5.7
CN0101500000000,1,15,"Calhoun , AL",2006,"54,063","51,872","2,191",4.1
CN0101700000000,1,17,"Chambers , AL",2006,"15,749","14,828",921,5.8
CN0101900000000,1,19,"Cherokee , AL",2006,"11,854","11,352",502,4.2
CN0102100000000,1,21,"Chilton , AL",2006,"19,771","19,059",712,3.6
CN0102300000000,1,23,"Choctaw , AL",2006,"5,329","5,030",299,5.6
CN0102500000000,1,25,"Clarke , AL",2006,"10,261","9,622",639,6.2
CN0102700000000,1,27,"Clay , AL",2006,"6,182","5,902",280,4.5
CN0102900000000,1,29,"Cleburne , AL",2006,"6,639","6,406",233,3.5
CN0103100000000,1,31,"Coffee , AL",2006,"20,691","19,917",774,3.7
CN0103300000000,1,33,"Colbert , AL",2006,"25,307","24,128","1,179",4.7
CN0103500000000,1,35,"Conecuh , AL",2006,"5,123","4,833",290,5.7
CN0103700000000,1,37,"Coosa , AL",2006,"4,794","4,525",269,5.6
CN0103900000000,1,39,"Covington , AL",2006,"17,195","16,529",666,3.9
CN0104100000000,1,41,"Crenshaw , AL",2006,"6,595","6,332",263,4.0
CN0104300000000,1,43,"Cullman , AL",2006,"39,375","38,026","1,349",3.4
CN0104500000000,1,45,"Dale , AL",2006,"20,480","19,522",958,4.7
CN0104700000000,1,47,"Dallas , AL",2006,"15,903","14,594","1,309",8.2
CN0104900000000,1,49,"DeKalb , AL",2006,"31,493","30,176","1,317",4.2
CN0105100000000,1,51,"Elmore , AL",2006,"35,169","33,968","1,201",3.4
CN0105300000000,1,53,"Escambia , AL",2006,"14,348","13,634",714,5.0
CN0105500000000,1,55,"Etowah , AL",2006,"46,521","44,546","1,975",4.2
CN0105700000000,1,57,"Fayette , AL",2006,"7,743","7,414",329,4.2
CN0105900000000,1,59,"Franklin , AL",2006,"13,939","13,291",648,4.6
CN0106100000000,1,61,"Geneva , AL",2006,"11,699","11,257",442,3.8
CN0106300000000,1,63,"Greene , AL",2006,"3,392","3,201",191,5.6
CN0106500000000,1,65,"Hale , AL",2006,"7,170","6,792",378,5.3
CN0106700000000,1,67,"Henry , AL",2006,"7,506","7,204",302,4.0
CN0106900000000,1,69,"Houston , AL",2006,"46,701","45,099","1,602",3.4
CN0107100000000,1,71,"Jackson , AL",2006,"27,066","25,852","1,214",4.5
CN0107300000000,1,73,"Jefferson , AL",2006,"316,750","304,027","12,723",4.0
CN0107500000000,1,75,"Lamar , AL",2006,"6,043","5,727",316,5.2
CN0107700000000,1,77,"Lauderdale , AL",2006,"42,593","40,795","1,798",4.2
CN0107900000000,1,79,"Lawrence , AL",2006,"15,644","14,889",755,4.8
CN0108100000000,1,81,"Lee , AL",2006,"64,828","62,616","2,212",3.4
CN0108300000000,1,83,"Limestone , AL",2006,"35,764","34,458","1,306",3.7
CN0108500000000,1,85,"Lowndes , AL",2006,"4,814","4,448",366,7.6
CN0108700000000,1,87,"Macon , AL",2006,"8,836","8,368",468,5.3
CN0108900000000,1,89,"Madison , AL",2006,"161,332","156,018","5,314",3.3
CN0109100000000,1,91,"Marengo , AL",2006,"8,592","8,193",399,4.6
CN0109300000000,1,93,"Marion , AL",2006,"13,504","12,913",591,4.4
CN0109500000000,1,95,"Marshall , AL",2006,"41,986","40,527","1,459",3.5
CN0109700000000,1,97,"Mobile , AL",2006,"182,019","174,428","7,591",4.2
CN0109900000000,1,99,"Monroe , AL",2006,"9,323","8,759",564,6.0
CN0110100000000,1,101,"Montgomery , AL",2006,"105,711","101,297","4,414",4.2
CN0110300000000,1,103,"Morgan , AL",2006,"55,887","53,635","2,252",4.0
CN0110500000000,1,105,"Perry , AL",2006,"3,586","3,284",302,8.4
CN0110700000000,1,107,"Pickens , AL",2006,"8,113","7,703",410,5.1
CN0110900000000,1,109,"Pike , AL",2006,"15,166","14,557",609,4.0
CN0111100000000,1,111,"Randolph , AL",2006,"9,758","9,237",521,5.3
CN0111300000000,1,113,"Russell , AL",2006,"21,467","20,204","1,263",5.9
CN0111500000000,1,115,"St. Clair , AL",2006,"35,053","33,819","1,234",3.5
CN0111700000000,1,117,"Shelby , AL",2006,"98,394","95,698","2,696",2.7
CN0111900000000,1,119,"Sumter , AL",2006,"4,791","4,465",326,6.8
CN0112100000000,1,121,"Talladega , AL",2006,"39,456","37,413","2,043",5.2
CN0112300000000,1,123,"Tallapoosa , AL",2006,"18,536","17,595",941,5.1
CN0112500000000,1,125,"Tuscaloosa , AL",2006,"87,495","84,619","2,876",3.3
CN0112700000000,1,127,"Walker , AL",2006,"29,877","28,516","1,361",4.6
CN0112900000000,1,129,"Washington , AL",2006,"6,901","6,501",400,5.8
CN0113100000000,1,131,"Wilcox , AL",2006,"3,571","3,260",311,8.7
CN0113300000000,1,133,"Winston , AL",2006,"10,591","10,067",524,4.9
CN0201300000000,2,13,"Aleutians East Borough, AK",2006,"1,141","1,044",97,8.5
CN0201600000000,2,16,"Aleutians West Census Area, AK",2006,"3,214","3,031",183,5.7
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2006,"151,530","143,482","8,048",5.3
CN0205000000000,2,50,"Bethel Census Area, AK",2006,"6,980","6,057",923,13.2
CN0206000000000,2,60,"Bristol Bay Borough, AK",2006,"1,021",966,55,5.4
CN0206800000000,2,68,"Denali Borough, AK",2006,"1,648","1,552",96,5.8
CN0207000000000,2,70,"Dillingham Census Area, AK",2006,"2,103","1,902",201,9.6
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",2006,"45,211","42,634","2,577",5.7
CN0210000000000,2,100,"Haines Borough, AK",2006,"1,453","1,336",117,8.1
CN0211000000000,2,110,"Juneau Borough/city, AK",2006,"18,544","17,645",899,4.8
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",2006,"25,460","23,373","2,087",8.2
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",2006,"8,100","7,603",497,6.1
CN0215000000000,2,150,"Kodiak Island Borough, AK",2006,"6,148","5,688",460,7.5
CN0215800000000,2,158,"Kusilvak Census Area, AK",2006,"2,539","2,012",527,20.8
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",2006,"1,081","1,015",66,6.1
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",2006,"39,042","36,118","2,924",7.5
CN0218000000000,2,180,"Nome Census Area, AK",2006,"3,897","3,427",470,12.1
CN0218500000000,2,185,"North Slope Borough, AK",2006,"4,144","3,860",284,6.9
CN0218800000000,2,188,"Northwest Arctic Borough, AK",2006,"2,963","2,627",336,11.3
CN0220100000000,2,201,"Prince of Wales-Outer Ketchikan Census Area, AK",2006,"2,353","2,016",337,14.3
CN0222000000000,2,220,"Sitka Borough/city, AK",2006,"4,684","4,431",253,5.4
CN0223200000000,2,232,"Skagway-Hoonah-Angoon Census Area, AK",2006,"1,898","1,657",241,12.7
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",2006,"3,344","2,986",358,10.7
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",2006,"5,192","4,749",443,8.5
CN0228000000000,2,280,"Wrangell-Petersburg Census Area, AK",2006,"2,907","2,629",278,9.6
CN0228200000000,2,282,"Yakutat Borough/city, AK",2006,311,281,30,9.6
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",2006,"2,790","2,424",366,13.1
CN0400100000000,4,1,"Apache , AZ",2006,"20,365","18,320","2,045",10.0
CN0400300000000,4,3,"Cochise , AZ",2006,"57,210","54,625","2,585",4.5
CN0400500000000,4,5,"Coconino , AZ",2006,"69,512","66,470","3,042",4.4
CN0400700000000,4,7,"Gila , AZ",2006,"20,972","19,878","1,094",5.2
CN0400900000000,4,9,"Graham , AZ",2006,"13,124","12,456",668,5.1
CN0401100000000,4,11,"Greenlee , AZ",2006,"3,774","3,631",143,3.8
CN0401200000000,4,12,"La Paz , AZ",2006,"7,759","7,311",448,5.8
CN0401300000000,4,13,"Maricopa , AZ",2006,"1,920,575","1,851,719","68,856",3.6
CN0401500000000,4,15,"Mohave , AZ",2006,"92,888","88,852","4,036",4.3
CN0401700000000,4,17,"Navajo , AZ",2006,"38,224","35,396","2,828",7.4
CN0401900000000,4,19,"Pima , AZ",2006,"451,861","433,523","18,338",4.1
CN0402100000000,4,21,"Pinal , AZ",2006,"102,937","97,775","5,162",5.0
CN0402300000000,4,23,"Santa Cruz , AZ",2006,"16,746","15,468","1,278",7.6
CN0402500000000,4,25,"Yavapai , AZ",2006,"96,732","92,833","3,899",4.0
CN0402700000000,4,27,"Yuma , AZ",2006,"77,764","66,129","11,635",15.0
CN0500100000000,5,1,"Arkansas , AR",2006,"11,749","10,860",889,7.6
CN0500300000000,5,3,"Ashley , AR",2006,"9,798","9,067",731,7.5
CN0500500000000,5,5,"Baxter , AR",2006,"17,534","16,604",930,5.3
CN0500700000000,5,7,"Benton , AR",2006,"103,728","100,267","3,461",3.3
CN0500900000000,5,9,"Boone , AR",2006,"17,099","16,256",843,4.9
CN0501100000000,5,11,"Bradley , AR",2006,"5,719","5,320",399,7.0
CN0501300000000,5,13,"Calhoun , AR",2006,"2,672","2,487",185,6.9
CN0501500000000,5,15,"Carroll , AR",2006,"14,034","13,429",605,4.3
CN0501700000000,5,17,"Chicot , AR",2006,"5,031","4,611",420,8.3
CN0501900000000,5,19,"Clark , AR",2006,"11,021","10,411",610,5.5
CN0502100000000,5,21,"Clay , AR",2006,"7,138","6,557",581,8.1
CN0502300000000,5,23,"Cleburne , AR",2006,"11,643","11,062",581,5.0
CN0502500000000,5,25,"Cleveland , AR",2006,"4,238","3,981",257,6.1
CN0502700000000,5,27,"Columbia , AR",2006,"11,148","10,475",673,6.0
CN0502900000000,5,29,"Conway , AR",2006,"9,939","9,451",488,4.9
CN0503100000000,5,31,"Craighead , AR",2006,"45,843","43,648","2,195",4.8
CN0503300000000,5,33,"Crawford , AR",2006,"28,157","26,886","1,271",4.5
CN0503500000000,5,35,"Crittenden , AR",2006,"22,464","20,939","1,525",6.8
CN0503700000000,5,37,"Cross , AR",2006,"8,654","8,030",624,7.2
CN0503900000000,5,39,"Dallas , AR",2006,"3,952","3,694",258,6.5
CN0504100000000,5,41,"Desha , AR",2006,"6,356","5,778",578,9.1
CN0504300000000,5,43,"Drew , AR",2006,"8,595","7,911",684,8.0
CN0504500000000,5,45,"Faulkner , AR",2006,"53,586","51,235","2,351",4.4
CN0504700000000,5,47,"Franklin , AR",2006,"8,586","8,217",369,4.3
CN0504900000000,5,49,"Fulton , AR",2006,"5,128","4,869",259,5.1
CN0505100000000,5,51,"Garland , AR",2006,"42,313","40,108","2,205",5.2
CN0505300000000,5,53,"Grant , AR",2006,"8,689","8,266",423,4.9
CN0505500000000,5,55,"Greene , AR",2006,"19,060","17,981","1,079",5.7
CN0505700000000,5,57,"Hempstead , AR",2006,"11,097","10,497",600,5.4
CN0505900000000,5,59,"Hot Spring , AR",2006,"15,604","14,798",806,5.2
CN0506100000000,5,61,"Howard , AR",2006,"6,511","6,160",351,5.4
CN0506300000000,5,63,"Independence , AR",2006,"17,664","16,695",969,5.5
CN0506500000000,5,65,"Izard , AR",2006,"5,416","5,082",334,6.2
CN0506700000000,5,67,"Jackson , AR",2006,"7,925","7,316",609,7.7
CN0506900000000,5,69,"Jefferson , AR",2006,"36,465","33,607","2,858",7.8
CN0507100000000,5,71,"Johnson , AR",2006,"11,184","10,611",573,5.1
CN0507300000000,5,73,"Lafayette , AR",2006,"3,158","2,936",222,7.0
CN0507500000000,5,75,"Lawrence , AR",2006,"7,479","6,974",505,6.8
CN0507700000000,5,77,"Lee , AR",2006,"3,618","3,287",331,9.1
CN0507900000000,5,79,"Lincoln , AR",2006,"5,196","4,782",414,8.0
CN0508100000000,5,81,"Little River , AR",2006,"6,535","6,240",295,4.5
CN0508300000000,5,83,"Logan , AR",2006,"10,322","9,822",500,4.8
CN0508500000000,5,85,"Lonoke , AR",2006,"31,679","30,337","1,342",4.2
CN0508700000000,5,87,"Madison , AR",2006,"7,923","7,638",285,3.6
CN0508900000000,5,89,"Marion , AR",2006,"6,995","6,633",362,5.2
CN0509100000000,5,91,"Miller , AR",2006,"19,572","18,662",910,4.6
CN0509300000000,5,93,"Mississippi , AR",2006,"21,268","19,610","1,658",7.8
CN0509500000000,5,95,"Monroe , AR",2006,"3,892","3,613",279,7.2
CN0509700000000,5,97,"Montgomery , AR",2006,"4,401","4,195",206,4.7
CN0509900000000,5,99,"Nevada , AR",2006,"4,446","4,201",245,5.5
CN0510100000000,5,101,"Newton , AR",2006,"3,608","3,422",186,5.2
CN0510300000000,5,103,"Ouachita , AR",2006,"12,531","11,525","1,006",8.0
CN0510500000000,5,105,"Perry , AR",2006,"4,905","4,661",244,5.0
CN0510700000000,5,107,"Phillips , AR",2006,"9,148","8,404",744,8.1
CN0510900000000,5,109,"Pike , AR",2006,"5,375","5,104",271,5.0
CN0511100000000,5,111,"Poinsett , AR",2006,"11,359","10,603",756,6.7
CN0511300000000,5,113,"Polk , AR",2006,"8,928","8,504",424,4.7
CN0511500000000,5,115,"Pope , AR",2006,"30,229","28,796","1,433",4.7
CN0511700000000,5,117,"Prairie , AR",2006,"4,517","4,263",254,5.6
CN0511900000000,5,119,"Pulaski , AR",2006,"189,922","180,838","9,084",4.8
CN0512100000000,5,121,"Randolph , AR",2006,"7,829","7,268",561,7.2
CN0512300000000,5,123,"St. Francis , AR",2006,"10,814","9,847",967,8.9
CN0512500000000,5,125,"Saline , AR",2006,"48,576","46,446","2,130",4.4
CN0512700000000,5,127,"Scott , AR",2006,"4,938","4,720",218,4.4
CN0512900000000,5,129,"Searcy , AR",2006,"3,559","3,390",169,4.7
CN0513100000000,5,131,"Sebastian , AR",2006,"60,935","58,127","2,808",4.6
CN0513300000000,5,133,"Sevier , AR",2006,"7,781","7,467",314,4.0
CN0513500000000,5,135,"Sharp , AR",2006,"6,557","6,117",440,6.7
CN0513700000000,5,137,"Stone , AR",2006,"4,767","4,503",264,5.5
CN0513900000000,5,139,"Union , AR",2006,"19,852","18,532","1,320",6.6
CN0514100000000,5,141,"Van Buren , AR",2006,"7,118","6,690",428,6.0
CN0514300000000,5,143,"Washington , AR",2006,"103,155","99,421","3,734",3.6
CN0514500000000,5,145,"White , AR",2006,"32,299","30,463","1,836",5.7
CN0514700000000,5,147,"Woodruff , AR",2006,"3,581","3,285",296,8.3
CN0514900000000,5,149,"Yell , AR",2006,"10,914","10,425",489,4.5
CN0600100000000,6,1,"Alameda , CA",2006,"733,836","701,275","32,561",4.4
CN0600300000000,6,3,"Alpine , CA",2006,482,451,31,6.4
CN0600500000000,6,5,"Amador , CA",2006,"17,236","16,315",921,5.3
CN0600700000000,6,7,"Butte , CA",2006,"99,752","93,557","6,195",6.2
CN0600900000000,6,9,"Calaveras , CA",2006,"20,596","19,390","1,206",5.9
CN0601100000000,6,11,"Colusa , CA",2006,"9,915","8,701","1,214",12.2
CN0601300000000,6,13,"Contra Costa , CA",2006,"510,424","488,580","21,844",4.3
CN0601500000000,6,15,"Del Norte , CA",2006,"10,793","10,053",740,6.9
CN0601700000000,6,17,"El Dorado , CA",2006,"91,558","87,339","4,219",4.6
CN0601900000000,6,19,"Fresno , CA",2006,"410,430","377,532","32,898",8.0
CN0602100000000,6,21,"Glenn , CA",2006,"11,612","10,681",931,8.0
CN0602300000000,6,23,"Humboldt , CA",2006,"59,404","56,124","3,280",5.5
CN0602500000000,6,25,"Imperial , CA",2006,"63,023","53,304","9,719",15.4
CN0602700000000,6,27,"Inyo , CA",2006,"9,010","8,599",411,4.6
CN0602900000000,6,29,"Kern , CA",2006,"336,093","310,742","25,351",7.5
CN0603100000000,6,31,"Kings , CA",2006,"54,995","50,355","4,640",8.4
CN0603300000000,6,33,"Lake , CA",2006,"24,273","22,410","1,863",7.7
CN0603500000000,6,35,"Lassen , CA",2006,"12,217","11,253",964,7.9
CN0603700000000,6,37,"Los Angeles , CA",2006,"4,807,873","4,577,565","230,308",4.8
CN0603900000000,6,39,"Madera , CA",2006,"62,732","58,352","4,380",7.0
CN0604100000000,6,41,"Marin , CA",2006,"130,575","125,967","4,608",3.5
CN0604300000000,6,43,"Mariposa , CA",2006,"9,008","8,499",509,5.7
CN0604500000000,6,45,"Mendocino , CA",2006,"43,242","40,993","2,249",5.2
CN0604700000000,6,47,"Merced , CA",2006,"97,919","88,681","9,238",9.4
CN0604900000000,6,49,"Modoc , CA",2006,"3,981","3,672",309,7.8
CN0605100000000,6,51,"Mono , CA",2006,"8,238","7,874",364,4.4
CN0605300000000,6,53,"Monterey , CA",2006,"203,070","189,023","14,047",6.9
CN0605500000000,6,55,"Napa , CA",2006,"71,692","68,927","2,765",3.9
CN0605700000000,6,57,"Nevada , CA",2006,"49,610","47,443","2,167",4.4
CN0605900000000,6,59,"Orange , CA",2006,"1,597,788","1,543,471","54,317",3.4
CN0606100000000,6,61,"Placer , CA",2006,"168,855","161,825","7,030",4.2
CN0606300000000,6,63,"Plumas , CA",2006,"10,086","9,314",772,7.7
CN0606500000000,6,65,"Riverside , CA",2006,"881,248","836,872","44,376",5.0
CN0606700000000,6,67,"Sacramento , CA",2006,"668,817","637,010","31,807",4.8
CN0606900000000,6,69,"San Benito , CA",2006,"24,164","22,433","1,731",7.2
CN0607100000000,6,71,"San Bernardino , CA",2006,"860,020","818,622","41,398",4.8
CN0607300000000,6,73,"San Diego , CA",2006,"1,496,145","1,436,821","59,324",4.0
CN0607500000000,6,75,"San Francisco /city, CA",2006,"415,749","398,293","17,456",4.2
CN0607700000000,6,77,"San Joaquin , CA",2006,"283,597","262,552","21,045",7.4
CN0607900000000,6,79,"San Luis Obispo , CA",2006,"132,376","127,166","5,210",3.9
CN0608100000000,6,81,"San Mateo , CA",2006,"364,007","350,645","13,362",3.7
CN0608300000000,6,83,"Santa Barbara , CA",2006,"210,884","202,365","8,519",4.0
CN0608500000000,6,85,"Santa Clara , CA",2006,"821,565","784,773","36,792",4.5
CN0608700000000,6,87,"Santa Cruz , CA",2006,"143,053","134,990","8,063",5.6
CN0608900000000,6,89,"Shasta , CA",2006,"82,446","77,008","5,438",6.6
CN0609100000000,6,91,"Sierra , CA",2006,"1,587","1,469",118,7.4
CN0609300000000,6,93,"Siskiyou , CA",2006,"18,596","17,107","1,489",8.0
CN0609500000000,6,95,"Solano , CA",2006,"207,849","197,727","10,122",4.9
CN0609700000000,6,97,"Sonoma , CA",2006,"253,990","243,840","10,150",4.0
CN0609900000000,6,99,"Stanislaus , CA",2006,"224,294","206,447","17,847",8.0
CN0610100000000,6,101,"Sutter , CA",2006,"40,363","36,753","3,610",8.9
CN0610300000000,6,103,"Tehama , CA",2006,"25,054","23,432","1,622",6.5
CN0610500000000,6,105,"Trinity , CA",2006,"5,058","4,558",500,9.9
CN0610700000000,6,107,"Tulare , CA",2006,"187,407","171,467","15,940",8.5
CN0610900000000,6,109,"Tuolumne , CA",2006,"25,806","24,316","1,490",5.8
CN0611100000000,6,111,"Ventura , CA",2006,"419,562","401,509","18,053",4.3
CN0611300000000,6,113,"Yolo , CA",2006,"93,606","88,766","4,840",5.2
CN0611500000000,6,115,"Yuba , CA",2006,"26,551","24,218","2,333",8.8
CN0800100000000,8,1,"Adams , CO",2006,"217,152","206,644","10,508",4.8
CN0800300000000,8,3,"Alamosa , CO",2006,"8,231","7,849",382,4.6
CN0800500000000,8,5,"Arapahoe , CO",2006,"302,717","289,805","12,912",4.3
CN0800700000000,8,7,"Archuleta , CO",2006,"6,452","6,186",266,4.1
CN0800900000000,8,9,"Baca , CO",2006,"2,423","2,348",75,3.1
CN0801100000000,8,11,"Bent , CO",2006,"2,409","2,274",135,5.6
CN0801300000000,8,13,"Boulder , CO",2006,"170,598","164,263","6,335",3.7
CN0801400000000,8,14,"Broomfield /city, CO",2006,"25,442","24,355","1,087",4.3
CN0801500000000,8,15,"Chaffee , CO",2006,"8,148","7,795",353,4.3
CN0801700000000,8,17,"Cheyenne , CO",2006,"1,349","1,313",36,2.7
CN0801900000000,8,19,"Clear Creek , CO",2006,"5,791","5,557",234,4.0
CN0802100000000,8,21,"Conejos , CO",2006,"3,770","3,523",247,6.6
CN0802300000000,8,23,"Costilla , CO",2006,"1,326","1,214",112,8.4
CN0802500000000,8,25,"Crowley , CO",2006,"1,590","1,482",108,6.8
CN0802700000000,8,27,"Custer , CO",2006,"1,949","1,866",83,4.3
CN0802900000000,8,29,"Delta , CO",2006,"15,873","15,240",633,4.0
CN0803100000000,8,31,"Denver /city, CO",2006,"306,021","291,349","14,672",4.8
CN0803300000000,8,33,"Dolores , CO",2006,985,921,64,6.5
CN0803500000000,8,35,"Douglas , CO",2006,"151,085","145,720","5,365",3.6
CN0803700000000,8,37,"Eagle , CO",2006,"29,827","28,823","1,004",3.4
CN0803900000000,8,39,"Elbert , CO",2006,"13,123","12,602",521,4.0
CN0804100000000,8,41,"El Paso , CO",2006,"295,570","281,919","13,651",4.6
CN0804300000000,8,43,"Fremont , CO",2006,"19,440","18,362","1,078",5.5
CN0804500000000,8,45,"Garfield , CO",2006,"33,227","32,244",983,3.0
CN0804700000000,8,47,"Gilpin , CO",2006,"3,406","3,269",137,4.0
CN0804900000000,8,49,"Grand , CO",2006,"8,773","8,488",285,3.2
CN0805100000000,8,51,"Gunnison , CO",2006,"9,514","9,215",299,3.1
CN0805300000000,8,53,"Hinsdale , CO",2006,618,599,19,3.1
CN0805500000000,8,55,"Huerfano , CO",2006,"3,371","3,168",203,6.0
CN0805700000000,8,57,"Jackson , CO",2006,"1,108","1,076",32,2.9
CN0805900000000,8,59,"Jefferson , CO",2006,"304,252","291,546","12,706",4.2
CN0806100000000,8,61,"Kiowa , CO",2006,888,858,30,3.4
CN0806300000000,8,63,"Kit Carson , CO",2006,"4,485","4,349",136,3.0
CN0806500000000,8,65,"Lake , CO",2006,"4,019","3,849",170,4.2
